# t Fx Fy Fz
0.18 2.63883861236708e-08 2.6393989406867e-08 1.11701666536096e-05
0.181 2.63454563690781e-08 2.63510582697112e-08 1.11693649876409e-05
0.182 2.63027737718749e-08 2.63083743296123e-08 1.11685757280497e-05
0.183 2.62603406123091e-08 2.62659398657543e-08 1.11677986558071e-05
0.184 2.62181590511413e-08 2.62237570379917e-08 1.11670335564004e-05
0.185 2.6176231134477e-08 2.61818278915689e-08 1.11662802197361e-05
0.186 2.61345587971e-08 2.61401543603986e-08 1.11655384400345e-05
0.187 2.60931438685369e-08 2.60987382730752e-08 1.1164808015721e-05
0.188 2.60519880935171e-08 2.60575813731284e-08 1.11640887493029e-05
0.189 2.60110932923235e-08 2.60166854768939e-08 1.11633804470841e-05
0.19 2.59704608757181e-08 2.59760520290565e-08 1.11626829251644e-05
0.191 2.59300899345642e-08 2.5935680029349e-08 1.11619959840606e-05
0.192 2.58899842886301e-08 2.58955733922576e-08 1.11613194553583e-05
0.193 2.58501455971154e-08 2.58557337391381e-08 1.11606531543236e-05
0.194 2.58105741312614e-08 2.5816161341757e-08 1.11599969072557e-05
0.195 2.57712708880247e-08 2.57768571964376e-08 1.11593505433493e-05
0.196 2.57322386771498e-08 2.57378240935796e-08 1.11587138936637e-05
0.197 2.56934724311902e-08 2.56990570464722e-08 1.11580867991004e-05
0.198 2.56549787804842e-08 2.56605625610455e-08 1.1157469089987e-05
0.199 2.56167585448267e-08 2.56223414853282e-08 1.11568606122679e-05
0.2 2.55788061240317e-08 2.55843883399632e-08 1.115626121111e-05
0.201 2.5541127970455e-08 2.55467094366129e-08 1.11556707332726e-05
0.202 2.55037225454571e-08 2.55093032898098e-08 1.11550890311559e-05
0.203 2.54665903138629e-08 2.54721703586996e-08 1.11545159575832e-05
0.204 2.54297322091598e-08 2.54353115831468e-08 1.11539513700068e-05
0.205 2.53931471358907e-08 2.5398725827614e-08 1.11533951298845e-05
0.206 2.53568353443971e-08 2.53624133818714e-08 1.11528470943326e-05
0.207 2.53207930117715e-08 2.53263705073728e-08 1.11523071286214e-05
0.208 2.52850271495384e-08 2.52906040566517e-08 1.11517751033805e-05
0.209 2.52495351328173e-08 2.52551114771956e-08 1.11512508868518e-05
0.21 2.52143163190548e-08 2.52198921209636e-08 1.11507343514055e-05
0.211 2.51793704794838e-08 2.51849457581405e-08 1.11502253717519e-05
0.212 2.51446973348225e-08 2.51502721090041e-08 1.11497238249216e-05
0.213 2.51102965413885e-08 2.51158708295343e-08 1.11492295902505e-05
0.214 2.50761676968975e-08 2.50817415170435e-08 1.11487425493317e-05
0.215 2.50423103440072e-08 2.50478837137602e-08 1.11482625859642e-05
0.216 2.50087239725694e-08 2.50142969091096e-08 1.11477895861036e-05
0.217 2.49754080215366e-08 2.49809805416145e-08 1.11473234378154e-05
0.218 2.49423618808007e-08 2.49479340007553e-08 1.11468640312293e-05
0.219 2.49095848929789e-08 2.49151566287253e-08 1.11464112584943e-05
0.22 2.48770763551729e-08 2.48826477222316e-08 1.11459650137363e-05
0.221 2.48448355206592e-08 2.48504065341395e-08 1.1145525193015e-05
0.222 2.4812861600454e-08 2.48184322750632e-08 1.11450916942829e-05
0.223 2.47811537647747e-08 2.47867241148294e-08 1.1144664417345e-05
0.224 2.4749711144495e-08 2.47552811839216e-08 1.11442432638193e-05
0.225 2.47185328325307e-08 2.47241025748766e-08 1.11438281370989e-05
0.226 2.46876178852407e-08 2.46931873436863e-08 1.11434189423142e-05
0.227 2.46569653238074e-08 2.4662534511171e-08 1.11430155862969e-05
0.228 2.46265741356174e-08 2.46321430643599e-08 1.11426179775442e-05
0.229 2.45964432756e-08 2.46020119578429e-08 1.11422260261843e-05
0.23 2.45665716675373e-08 2.4572140115056e-08 1.11418396439425e-05
0.231 2.45369582053379e-08 2.45425264295899e-08 1.11414587441084e-05
0.232 2.45076029633395e-08 2.45131709594454e-08 1.11410832649289e-05
0.233 2.44785021439814e-08 2.4484069942569e-08 1.11407130602282e-05
0.234 2.44496575932567e-08 2.44552251804594e-08 1.11403481175377e-05
0.235 2.44210644759816e-08 2.44266319012807e-08 1.11399882945681e-05
0.236 2.43927247163312e-08 2.43982919823135e-08 1.11396335551481e-05
0.237 2.43646327968369e-08 2.43701999164951e-08 1.11392838084888e-05
0.238 2.43367936849583e-08 2.43423606530802e-08 1.11389389855782e-05
0.239 2.43092020952772e-08 2.43147689210155e-08 1.11385989980111e-05
0.24 2.42818595375251e-08 2.42874261996928e-08 1.11382637831217e-05
